Id CCAA,CCAA,Id Provincia,Provincia,País,Titularidad,Sexo,Total,Infantil ciclo 1,Infantil ciclo 2,Primaria,Ed Especial,ESO,Bachillerato,Bachillerato a distancia,FP Básica,FP Medio,FP Superior,FP Medio a distancia,FP Superior a distancia,Otros
CA03,Principado de Asturias,PR33,Asturias,España,Privada,Hombres,19.403,270,3.209,7.269,83,5.517,1.413,0,231,679,684,0,45,3
CA04,Illes Balears,PR07,Baleares,España,Privada,Hombres,34.918,1.601,6.230,13.891,406,9.334,1.834,0,200,792,546,2,34,48
CA05,Canarias,PR35,Las Palmas,España,Privada,Hombres,19.150,1.156,3.091,6.824,186,5.157,1.168,492,62,248,514,60,192,0
CA05,Canarias,PR38,Santa Cruz de Tenerife,España,Privada,Hombres,22.616,1.990,3.810,8.479,139,6.179,1.078,0,119,265,390,11,139,17
CA06,Cantabria,PR39,Cantabria,España,Privada,Hombres,13.983,369,2.056,5.404,130,3.731,522,0,248,694,572,0,102,155
CA07,Castilla y León,PR05,Ávila,España,Privada,Hombres,3.081,86,525,1.114,4,918,206,0,34,125,69,0,0,0
CA07,Castilla y León,PR09,Burgos,España,Privada,Hombres,10.783,244,1.669,3.737,49,2.645,605,0,264,847,669,0,54,0
CA07,Castilla y León,PR24,León,España,Privada,Hombres,9.859,182,1.655,3.527,32,2.739,742,0,166,386,420,0,10,0
CA07,Castilla y León,PR34,Palencia,España,Privada,Hombres,3.646,123,591,1.295,6,1.064,191,0,103,188,85,0,0,0
CA07,Castilla y León,PR37,Salamanca,España,Privada,Hombres,8.992,273,1.447,3.196,62,2.429,522,0,192,390,333,0,148,0
CA07,Castilla y León,PR40,Segovia,España,Privada,Hombres,1.829,122,291,658,0,576,182,0,0,0,0,0,0,0
CA07,Castilla y León,PR42,Soria,España,Privada,Hombres,1.072,62,190,490,0,294,36,0,0,0,0,0,0,0
CA07,Castilla y León,PR47,Valladolid,España,Privada,Hombres,16.974,599,2.595,5.912,179,4.406,1.088,0,212,807,819,188,169,0
CA07,Castilla y León,PR49,Zamora,España,Privada,Hombres,2.543,55,474,1.105,0,726,85,0,54,44,0,0,0,0
CA08,Castilla-La Mancha,PR02,Albacete,España,Privada,Hombres,6.068,884,1.076,2.400,33,1.291,208,0,94,14,61,6,1,0
CA08,Castilla-La Mancha,PR13,Ciudad Real,España,Privada,Hombres,8.609,603,1.278,2.972,128,2.363,315,0,169,520,261,0,0,0
