Id CCAA;CCAA;Id Provincia;Provincia;Edad;Titularidad;Alumnos
CA16;País Vasco;PR20;Gipuzkoa;3;Pública;3.084
CA16;País Vasco;PR48;Bizkaia;3;Pública;4.642
CA17;Rioja, La;PR26;La Rioja;3;Pública;1.798
CA18;Ceuta;PR51;Ceuta;3;Pública;743
CA19;Melilla;PR52;Melilla;3;Pública;943
CA01;Andalucía;PR04;Almería;3;Privada;988
CA01;Andalucía;PR11;Cádiz;3;Privada;2.815
CA01;Andalucía;PR14;Córdoba;3;Privada;1.934
CA01;Andalucía;PR18;Granada;3;Privada;2.277
CA01;Andalucía;PR21;Huelva;3;Privada;823
CA01;Andalucía;PR23;Jaén;3;Privada;1.398
CA01;Andalucía;PR29;Málaga;3;Privada;3.936
CA01;Andalucía;PR41;Sevilla;3;Privada;4.599
CA02;Aragón;PR22;Huesca;3;Privada;375
CA02;Aragón;PR44;Teruel;3;Privada;137
CA02;Aragón;PR50;Zaragoza;3;Privada;2.828
CA03;Asturias, Principado de;PR33;Asturias;3;Privada;2.089
CA04;Balears, Illes;PR07;Baleares;3;Privada;3.904
CA05;Canarias;PR35;Las Palmas;3;Privada;2.110
CA05;Canarias;PR38;Santa Cruz de Tenerife;3;Privada;2.373
CA06;Cantabria;PR39;Cantabria;3;Privada;1.271
CA07;Castilla y León;PR05;Ávila;3;Privada;327
CA07;Castilla y León;PR09;Burgos;3;Privada;1.066
CA07;Castilla y León;PR24;León;3;Privada;1.029
CA07;Castilla y León;PR34;Palencia;3;Privada;354
CA07;Castilla y León;PR37;Salamanca;3;Privada;897
CA07;Castilla y León;PR40;Segovia;3;Privada;205
CA07;Castilla y León;PR42;Soria;3;Privada;112
CA07;Castilla y León;PR47;Valladolid;3;Privada;1.595
CA07;Castilla y León;PR49;Zamora;3;Privada;257
CA08;Castilla-La Mancha;PR02;Albacete;3;Privada;671
CA08;Castilla-La Mancha;PR13;Ciudad Real;3;Privada;829
CA08;Castilla-La Mancha;PR16;Cuenca;3;Privada;175
CA08;Castilla-La Mancha;PR19;Guadalajara;3;Privada;424
CA08;Castilla-La Mancha;PR45;Toledo;3;Privada;1.436
CA09;Cataluña;PR08;Barcelona;3;Privada;18.358
CA09;Cataluña;PR17;Girona;3;Privada;1.426
CA09;Cataluña;PR25;Lleida;3;Privada;903
CA09;Cataluña;PR43;Tarragona;3;Privada;1.796
CA10;Comunitat Valenciana;PR03;Alicante;3;Privada;3.768
CA10;Comunitat Valenciana;PR12;Castellón;3;Privada;1.114
CA10;Comunitat Valenciana;PR46;Valencia;3;Privada;8.872
CA11;Extremadura;PR06;Badajoz;3;Privada;1.181
CA11;Extremadura;PR10;Cáceres;3;Privada;731
CA12;Galicia;PR15;A Coruña;3;Privada;2.331
CA12;Galicia;PR27;Lugo;3;Privada;548
CA12;Galicia;PR32;Ourense;3;Privada;608
CA12;Galicia;PR36;Pontevedra;3;Privada;2.258
CA13;Madrid, Comunidad de;PR28;Madrid;3;Privada;28.495
CA14;Murcia, Región de;PR30;Murcia;3;Privada;4.996
CA15;Navarra, Comunidad Foral de;PR31;Navarra;3;Privada;2.264
CA16;País Vasco;PR01;Álava;3;Privada;1.258
CA16;País Vasco;PR20;Gipuzkoa;3;Privada;3.023
